"tsn","species_common","species_scientific","adfg_code","adfg_comment","akr_code","akr_name","obs_code","obs_name","race_code","race_name","iphc_code","iphc_name","sa_comments"
NA,"Missing value",NA,"999","The code actually originated in 2000.  Default interim code to utilize until correct species is determined.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"167125","skilfish","Erilepis zonifer","715",NA,"715","Skilfish","212","SKILFISH","20515","Skilfish",NA,NA,NA
"166716","rockfish, splitnose","Sebastes diploproa","182",NA,"182","Splitnose Rockfish","315","SPLITNOSE ROCKFISH","30190","splitnose rockfish",134,"Splitnose Rockfish","coded as ""northern rockfish"" no weight data available"
"162000","Dolly Varden (anadromous)","Salvelinus malma","531",NA,"531","Dolly varden, anadromous","228","DOLLY VARDEN","23252","Dolly Varden",NA,NA,NA
NA,"trout, cutthroat (anadromous)","Oncorhynchus clarki","561",NA,NA,NA,"227","CUTTHROAT TROUT",NA,NA,NA,NA,NA
"164792","Pacific hake","Merluccius productus","112",NA,"112","Pacific Hake","206","PACIFIC HAKE","22500","Pacific hake",86,"Pacific Hake","coded as ""pollock"" no weight data available"
"161996","salmon, Atlantic","Salmo salar","666","Age Lab code",NA,NA,NA,NA,NA,NA,NA,NA,NA
"172861","Kamchatka flounder","Atheresthes evermanni","117",NA,"117","Kamchatka Flounder","147","KAMCHATKA FLOUNDER","10112","Kamchatka flounder",152,"Kamchatka Flounder",""
NA,"Snailfish, general","Liparis/Careproctus","218",NA,"218","Snailfish, general","500","SNAILFISH UNIDENTIFIED","22200","snailfish unident.",24,"Snailfish",""
NA,"Poacher, general","family Agonidae","219",NA,"219","Poacher, general","450","POACHER UNIDENTIFIED","20000","poacher unident.",NA,NA,NA
"172876","Bering flounder","Hippoglossoides robustus","116",NA,"116","Bering Flounder","145","BERING FLOUNDER","10140","Bering flounder",170,"Bering Flounder","coded as ""rex sole"" because of small size and no weight data available"
"644604","rockfish, dusky","Sebastes variabilis","172",NA,"172","Dusky Rockfish","330","DUSKY ROCKFISH","30152","dusky rockfish",NA,NA,NA
"166714","rockfish, dark","Sebastes ciliatus","173",NA,"173","Dark Rockfish","345","DARK ROCKFISH","30151","dark rockfish",NA,NA,NA
"79757","scallop, weathervane","Patinopecten caurinus","850",NA,"850","Scallop, weathervane","29","MUSSELS OYSTERS SCALLOPS CLAMS","74000","bivalve unident.",74,"Bivalve",""
"79757","scallop, weathervane","Patinopecten caurinus","850",NA,"850","Scallop, weathervane","29","MUSSELS OYSTERS SCALLOPS CLAMS","74120","weathervane scallop",NA,NA,NA
NA,"scallop, pink (or calico)","species Chlamys","851",NA,"851","Scallop, pink (or calico)","29","MUSSELS OYSTERS SCALLOPS CLAMS","74000","bivalve unident.",74,"Bivalve",""
NA,"scallop, pink (or calico)","species Chlamys","851",NA,"851","Scallop, pink (or calico)","29","MUSSELS OYSTERS SCALLOPS CLAMS","74120","weathervane scallop",NA,NA,NA
NA,"blue mussel","Mytilus trossulus or Mytilus edulis","855",NA,"855","Mussel, blue","29","MUSSELS OYSTERS SCALLOPS CLAMS","74000","bivalve unident.",74,"Bivalve",""
NA,"blue mussel","Mytilus trossulus or Mytilus edulis","855",NA,"855","Mussel, blue","29","MUSSELS OYSTERS SCALLOPS CLAMS","74120","weathervane scallop",NA,NA,NA
"69494","abalone, northern (pinto)","Haliotis kamtschatkana","860",NA,"860","Abalone",NA,NA,NA,NA,NA,NA,NA
NA,"octopus, North Pacific","Octopus dofleini","870",NA,"870","Octopus","60","OCTOPUS UNIDENTIFIED","78010","octopus unident.",51,"Octopus",""
NA,"octopus, North Pacific","Octopus dofleini","870",NA,"870","Octopus","60","OCTOPUS UNIDENTIFIED","78403","giant octopus",NA,NA,NA
NA,"octopus, North Pacific","Octopus dofleini","870",NA,"870","Octopus","60","OCTOPUS UNIDENTIFIED","78020","Octopus sp.",NA,NA,NA
"82430","squid, majestic","Berryteuthis magister","875",NA,"875","Squid","50","SQUID UNIDENTIFIED","79000","squid unident.",NA,NA,NA
"82430","squid, majestic","Berryteuthis magister","875",NA,"875","Squid","50","SQUID UNIDENTIFIED","79210","magistrate armhook squid",NA,NA,NA
"79868","oysters, Pacific","Crassostrea gigas","880",NA,"880","Oysters","29","MUSSELS OYSTERS SCALLOPS CLAMS","74000","bivalve unident.",74,"Bivalve",""
"79868","oysters, Pacific","Crassostrea gigas","880",NA,"880","Oysters","29","MUSSELS OYSTERS SCALLOPS CLAMS","74120","weathervane scallop",NA,NA,NA
NA,"snails","genus Neptunea","890",NA,"890","Snails","30","SNAIL UNIDENTIFIED","71500","snail unident.",71,"Gastropod",""
"157971","red sea urchin","Strongylocentrotus franciscanus","892",NA,"892","Sea Urchin, red",NA,NA,NA,NA,NA,NA,NA
"157969","green sea urchin","Strongylocentrotus droebachiensis","893",NA,"893","Sea Urchin, green",NA,NA,NA,NA,NA,NA,NA
NA,"red sea cucumber","Parustichopus californicus","894",NA,"895","Sea cucumbers","41","SEA CUCUMBER UNIDENTIFIED","85000","sea cucumber unident.",73,"Sea Cucumber",""
NA,"sea cucumber","class Holothuroidea","895",NA,"895","Sea cucumbers","41","SEA CUCUMBER UNIDENTIFIED","85000","sea cucumber unident.",73,"Sea Cucumber",""
