"","species_code","species_common","species_scientific","source_document","year_start","year_end","year_published","year_internal","pacfin_spid_code","comments","fish_ticket_report_names","akfin_load_date","tsn"
"1","999","Missing value",NA,NA,"1969",NA,NA,NA,NA,"The code actually originated in 2000.  Default interim code to utilize until correct species is determined.",NA,2023-01-14 08:00:24,NA
"2","715","skilfish","Erilepis zonifer","AFS Fishes, 5th ed, 1992","2000",NA,"1999",NA,NA,NA,NA,2023-01-14 08:00:24,"167125"
"3","182","rockfish, splitnose","Sebastes diploproa","AFS Fishes, 5th ed, 1991","1999",NA,"1999",NA,"SNOS",NA,"Rockfish        ",2023-01-14 08:00:24,"166716"
"4","531","Dolly Varden (anadromous)","Salvelinus malma","AFS Fishes, 5th ed, 1991","1969",NA,"1969",NA,NA,NA,"Char            ",2023-01-14 08:00:24,"162000"
"5","531","Dolly Varden (anadromous)","Salvelinus malma","AFS Fishes, 5th ed, 1991","1969",NA,"1969",NA,NA,NA,"Char            ",2023-01-14 08:00:24,"162000"
"6","531","Dolly Varden (anadromous)","Salvelinus malma","AFS Fishes, 5th ed, 1991","1969",NA,"1969",NA,NA,NA,"Char            ",2023-01-14 08:00:24,"162000"
"7","561","trout, cutthroat (anadromous)","Oncorhynchus clarki","AFS Fishes, 5th ed, 1991","1969",NA,"1969","1999",NA,NA,"Trout           ",2023-01-14 08:00:24,NA
"8","112","Pacific hake","Merluccius productus","AFS Fishes, 5th ed, 1991","2004",NA,"2004",NA,NA,NA,NA,2023-01-14 08:00:24,"164792"
"9","666","salmon, Atlantic","Salmo salar","AFS Fishes, 5th ed, 1991","2002",NA,NA,"2002",NA,"Age Lab code",NA,2023-01-14 08:00:24,"161996"
"10","117","Kamchatka flounder","Atheresthes evermanni","AFS Fishes, 5th ed, 1991","2011",NA,"2011",NA,NA,NA,NA,2023-01-14 08:00:24,"172861"
"11","218","Snailfish, general","Liparis/Careproctus","AFS Fishes, 5th ed, 1991","2007",NA,"2007",NA,NA,NA,NA,2023-01-14 08:00:24,NA
"12","219","Poacher, general","family Agonidae","AFS Fishes, 5th ed, 1991","2007",NA,"2007",NA,NA,NA,NA,2023-01-14 08:00:24,NA
"13","116","Bering flounder","Hippoglossoides robustus","AFS Fishes, 5th ed, 1991","2008",NA,"2008",NA,NA,NA,NA,2023-01-14 08:00:24,"172876"
"14","172","rockfish, dusky","Sebastes variabilis","NMFS Council Action","2008",NA,"2008",NA,"DUSK",NA,"Rockfish        ",2023-01-14 08:00:24,"644604"
"15","173","rockfish, dark","Sebastes ciliatus","NMFS Council Action","2008",NA,"2008",NA,"DARK",NA,"Rockfish        ",2023-01-14 08:00:24,"166714"
"16","173","rockfish, dark","Sebastes ciliatus","NMFS Council Action","2008",NA,"2008",NA,"DARK",NA,"Rockfish        ",2023-01-14 08:00:24,"166714"
"17","850","scallop, weathervane","Patinopecten caurinus","AFS Mollusks, 2nd ed, 1998","1969",NA,"1969",NA,NA,NA,NA,2023-01-14 08:00:24,"79757"
"18","851","scallop, pink (or calico)","species Chlamys","AFS Mollusks, 2nd ed, 1998","1983",NA,"1983",NA,NA,NA,NA,2023-01-14 08:00:24,NA
"19","855","blue mussel","Mytilus trossulus or Mytilus edulis","AFS Mollusks, 2nd ed, 1998","1983",NA,"1983",NA,"BMSL",NA,NA,2023-01-14 08:00:24,NA
"20","860","abalone, northern (pinto)","Haliotis kamtschatkana","AFS Mollusks, 2nd ed, 1998","1971",NA,"1971",NA,NA,NA,NA,2023-01-14 08:00:24,"69494"
"21","870","octopus, North Pacific","Octopus dofleini","AFS Mollusks, 2nd ed, 1998","1976",NA,"1976",NA,"OCTP",NA,NA,2023-01-14 08:00:24,NA
"22","875","squid, majestic","Berryteuthis magister","AFS Mollusks, 2nd ed, 1998","1983",NA,"1983",NA,"MSQD",NA,NA,2023-01-14 08:00:24,"82430"
"23","880","oysters, Pacific","Crassostrea gigas","AFS Mollusks, 2nd ed, 1998","1983",NA,"1983",NA,"PSTR",NA,NA,2023-01-14 08:00:24,"79868"
"24","890","snails","genus Neptunea","AFS Mollusks, 2nd ed, 1998","1978",NA,"1978",NA,NA,NA,NA,2023-01-14 08:00:24,NA
"25","892","red sea urchin","Strongylocentrotus franciscanus","AFS Mollusks, 2nd ed, 1998","1982",NA,"1983",NA,"RURC",NA,NA,2023-01-14 08:00:24,"157971"
"26","893","green sea urchin","Strongylocentrotus droebachiensis","AFS Mollusks, 2nd ed, 1998","1983",NA,"1983",NA,NA,NA,NA,2023-01-14 08:00:24,"157969"
"27","894","red sea cucumber","Parustichopus californicus","AFS Mollusks, 2nd ed, 1998","1999",NA,"1999",NA,NA,NA,NA,2023-01-14 08:00:24,NA
"28","895","sea cucumber","class Holothuroidea","AFS Mollusks, 2nd ed, 1998","1983",NA,"1983",NA,"USCU",NA,NA,2023-01-14 08:00:24,NA
"29","896","sea urchin","class Ehinodea","AFS Mollusks, 2nd ed, 1998","1980",NA,"1980","2000","UURC",NA,NA,2023-01-14 08:00:24,NA
"30","899","coral","genus Corallium",NA,"1978",NA,"1978",NA,NA,NA,NA,2023-01-14 08:00:24,NA
